Run ID,date,Model,Experiment Type,Dataset,Centrality,Homo,Homo_std,NMI,NMI_std,Sim@10,Sim@16,Sim@20,Sim@4,Sim@5,Sim@8,_runtime,_step,_timestamp,_wandb,accuracy,accuracy_std,auc,auc_std,class_accuracy,demographic_parity_difference,demographic_parity_difference_std,demographic_parity_ratio,demographic_parity_ratio_std,epoch,f1_score,f1_score_std,imparity,imparity_std,loss,loss_neig,loss_self,loss_structure,precision,precision_std,recall,recall_std
vqpxja37,20241113,BLNN,drop_edge,twitch-en,degree,0.5245867006379767,0.0014928211183553575,0.5272854730711513,0.001462198151661913,54.10748672485352,53.97575378417969,53.807186126708984,54.473052978515625,54.501827239990234,54.173099517822266,573.426837422,1999,1731459094.6479375,{'runtime': 574},58.62743378354674,0.5947146565068707,57.12782996230774,0.7774443318026243,"[[0.5190530324730032, 0.5774442942466945], [0.2127636343852931, 0.8977230458676584]]",0.3273675900086887,0.05582378877578689,0.6181293323783172,0.05524557376827889,1999,57.30401400763052,1.3924724967192728,0.3139220961704059,0.05727317904756457,-0.4346488118171692,-1.0695009231567385,0.6348521113395691,0.0,58.259635509351426,0.49536153247754144,58.62743378354674,0.5947146565068707
srr7ru4e,20241113,BLNN,drop_edge_weighted,twitch-en,degree,0.5068330652183121,0.001433992723258356,0.5110233815026592,0.001454167315390573,54.00224304199219,53.97926712036133,53.864013671875,54.51165008544922,54.27730178833008,54.1678352355957,559.368391399,1999,1731459665.7755632,{'runtime': 560},59.08174004560603,0.44488884369909537,57.61079138652615,0.5758495811376463,"[[0.5423834349558228, 0.5715092240510617], [0.19550283401226257, 0.906651372983046]]",0.35430658642696666,0.04838714488218167,0.5917426287979417,0.04800916190058334,1999,57.79041039574509,0.9765695741282568,0.34047601191451077,0.049469531109795344,-0.3661162257194519,-1.0369644165039062,0.6708481907844543,0.0,58.81213784940529,0.4894167627172279,59.08174004560603,0.44488884369909537
m0xmdl2c,20241113,BLNN,drop_edge_extended,twitch-en,degree,0.489294999586287,0.0026572296376112504,0.49673498147365225,0.0026521957146131373,53.8001708984375,53.658260345458984,53.57142639160156,54.40289306640625,54.22957992553711,53.96611022949219,738.998192422,1999,1731460414.2780025,{'runtime': 740},59.37467111033152,0.524421723999344,57.8619168516864,0.5303996538437373,"[[0.5250051291615978, 0.5851833765259007], [0.21935462378090276, 0.9069474855313404]]",0.329803127607711,0.03860441018322604,0.6159864192843494,0.039069371889588415,1999,58.057304856296355,0.8554068510538387,0.314442210529868,0.03983358224087762,-0.3557525873184204,-1.033721089363098,0.6779685020446777,0.0,59.11778203280112,0.5393045844027754,59.37467111033152,0.524421723999344
126eb3ks,20241113,BLNN,drop_edge_weighted_extended,twitch-en,degree,0.7937802742415225,0.002191614879187134,0.8045955632149635,0.0021988859423505568,53.864715576171875,53.58897018432617,53.42759323120117,54.553749084472656,54.34184646606445,53.82402420043945,758.145933602,1999,1731461182.7803724,{'runtime': 759},58.3038063497632,0.5564300005820603,56.795423976597846,0.6010787090110109,"[[0.521937571212743, 0.5647946929218158], [0.1973172390578968, 0.9050621579844048]]",0.34545150329859353,0.06084289941012456,0.6024116862836709,0.05761551118790388,1999,56.95021344260975,0.9954314568931866,0.3331575273197779,0.06225685616353045,-0.27072012424468994,-0.999164342880249,0.7284442186355591,0.0,57.932073468571055,0.5096058704611939,58.3038063497632,0.5564300005820603
wnkgglre,20241113,BLNN,drop_edge,twitch-en,eigen,0.24114600655518512,0.0013469046718410946,0.24061529867348944,0.0013409455967728751,53.93208312988281,53.694217681884766,53.598087310791016,54.290626525878906,54.313777923583984,54.143280029296875,570.483262734,1999,1731461762.286194,{'runtime': 572},59.18786177863532,0.7901552971430269,57.76061184970305,0.979299545389422,"[[0.5330217400765705, 0.5813476727943292], [0.228469991209126, 0.8899060277029596]]",0.32173352347418127,0.05665509955179864,0.620596540255902,0.052660859695888275,1999,57.99015469930296,1.3369265008484688,0.30673778371001126,0.05848516632964908,-0.38726383447647095,-1.0374648571014404,0.6502010226249695,0.0,58.875782467600565,0.7869335527921335,59.18786177863532,0.7901552971430269
rfkm19gj,20241113,BLNN,drop_edge_weighted,twitch-en,eigen,0.9695056274094208,0.007673790883262646,1.001726479485795,0.007847722038151712,54.239402770996094,53.93804168701172,53.783329010009766,55.013328552246094,54.731964111328125,54.264312744140625,570.162111835,1999,1731462341.7972455,{'runtime': 571},58.65813015260481,0.6043022265050317,57.1142953827336,0.8692724955041355,"[[0.5346134715271548, 0.5617519016527674], [0.17387855846269945, 0.9222814289465366]]",0.37298391153943056,0.05272056826125008,0.5792491887590627,0.048685076556005,1999,57.22461879263699,1.5144221660414747,0.36062285302005054,0.05445426101108431,-0.33046120405197144,-1.017378330230713,0.6869171261787415,0.0,58.31137381420478,0.4965311959039101,58.65813015260481,0.6043022265050317
16e7jvah,20241113,BLNN,drop_edge_extended,twitch-en,eigen,0.5979242359284009,0.002794778300370554,0.6026543642855658,0.002735999306518619,53.88857650756836,53.73895263671875,53.74824905395508,54.53620529174805,54.37553024291992,54.055572509765625,752.480245749,1999,1731463103.2166245,{'runtime': 753},58.972987195228896,0.4804533628069732,57.593553803508435,0.6551707265990037,"[[0.5487230069319801, 0.5575307842487818], [0.21153118957184627, 0.8999143631202188]]",0.3540690651705066,0.0566747639706126,0.5882479556878929,0.04981030996920347,1999,57.85878489699521,0.9393902387880626,0.34002448207469266,0.05859488821979664,-0.32623744010925293,-1.017151951789856,0.690914511680603,0.0,58.64408908493045,0.5150688013448743,58.972987195228896,0.4804533628069732
ckum7n6p,20241113,BLNN,drop_edge_weighted_extended,twitch-en,eigen,0.515222379822781,8.673617379884034e-17,0.523147234406389,0.0,53.74964904785156,53.5038948059082,53.42898941040039,54.26606369018555,54.035926818847656,53.738067626953125,747.001266624,1999,1731463859.3968072,{'runtime': 748},59.346605858621295,0.5314965585960779,57.82820290596421,0.691908409641381,"[[0.5328671003930083, 0.5820278515520283], [0.2031003786183551, 0.9111140862151454]]",0.3441618686105758,0.05315044016321587,0.6035889698524215,0.05258703891205804,1999,57.97786634705106,1.0839002105920357,0.3293954428117495,0.05516313310650478,-0.3244854211807251,-1.021508812904358,0.6970233917236328,0.0,59.11675992233339,0.5815565735021347,59.346605858621295,0.5314965585960779
jhnufp3b,20241113,BLNN,drop_edge,twitch-en,betweenness,0.6449743477578301,0.00910609538391666,0.6506068162295777,0.008912248780152676,53.887176513671875,53.640716552734375,53.57563400268555,54.76073455810547,54.50743865966797,54.15029525756836,559.934779009,1999,1731464429.8654425,{'runtime': 561},58.745834064199265,0.5569274349747874,57.27134148068549,0.693557925092722,"[[0.5322124507925976, 0.5733679865655273], [0.2040704785898577, 0.897587082844941]]",0.33934680476696616,0.05507175295546181,0.605700568155798,0.05124562494504344,1999,57.45314599591966,0.9429312240298304,0.32600162115167447,0.057275553792195774,-0.3082590103149414,-1.009209156036377,0.7009501457214355,0.0,58.429013802404285,0.6390688400834643,58.745834064199265,0.5569274349747874
uotb9f8o,20241113,BLNN,drop_edge_weighted,twitch-en,betweenness,0.43142803222384773,0.00227644976919092,0.43575894184469,0.0023108587622580608,53.791748046875,53.68895721435547,53.610015869140625,54.25554656982422,54.134159088134766,53.91348648071289,566.002310722,1999,1731465005.002211,{'runtime': 567},58.235397298719526,0.4634220246841918,56.649472020001056,0.7543034480250014,"[[0.5107138313425496, 0.5759780306260909], [0.191220452693977, 0.906687958785953]]",0.3375273946404302,0.051625418919520334,0.6114598563440594,0.05447407164439355,1999,56.706013332538305,1.361787047593639,0.3256132136892539,0.05303304170454543,-0.4054256081581116,-1.0596685409545898,0.6542429327964783,0.0,57.86272930762498,0.39463972901865874,58.235397298719526,0.4634220246841918
21l44gxn,20241113,BLNN,drop_edge_extended,twitch-en,betweenness,0.001337166862532435,9.236596340691083e-05,0.0013349090416642938,9.218184961821948e-05,54.413421630859375,54.15555953979492,54.02119064331055,55.0028076171875,54.852657318115234,54.5712890625,728.240217546,1999,1731465743.2389336,{'runtime': 729},59.67988072268023,0.47536086434494607,58.09933972104787,0.6369655897323478,"[[0.5426375778123924, 0.5862758048744943], [0.17702602681831264, 0.9249329343251445]]",0.3655767901219888,0.04736849184472156,0.5874537132243088,0.047695421186290714,1999,58.257851274535255,0.9196123874610342,0.3509050128294918,0.04881701500058582,-0.3661381602287293,-1.0499426126480105,0.683804452419281,0.0,59.456444567241704,0.4695330580072071,59.67988072268023,0.47536086434494607
s9c1c10m,20241113,BLNN,drop_edge_weighted_extended,twitch-en,betweenness,0.6955187742273322,0.003743686273292337,0.7107141211684908,0.003763448603827379,54.06539535522461,53.85033416748047,53.708248138427734,54.69057083129883,54.58602142333984,54.13100051879883,746.194305704,1999,1731466498.2493458,{'runtime': 747},58.932643395895454,0.7008387692088881,57.49254644032264,0.6687910741116063,"[[0.5317781873221349, 0.5742237004138439], [0.2175806072171464, 0.8960040477831652]]",0.3325417545964878,0.049592046727610486,0.6099261169746648,0.05308585053865275,1999,57.67626002814041,1.1226135448985832,0.3183347958113773,0.05090060530233998,-0.3203098773956299,-1.0215319395065308,0.7012220621109009,0.0,58.66741509561167,0.6895353303290863,58.932643395895454,0.7008387692088881
